Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;0.94;1.02;0.96;1.49;1.95;2.08;—;3.01
Price/Earnings;—;—;—;—;—;45.23;26.85;15.84;21.67;32.96;21.57;—;25.53
Price/Cash Flow;—;—;—;—;—;14.03;—;13.09;19.20;14.75;12.09;—;17.03
Price/Book;—;—;—;—;—;5.68;1.94;1.78;2.58;3.12;3.48;—;4.19
Price/Forward Earnings;—;—;—;—;—;17.45;16.61;12.85;19.12;24.45;22.88;19.83;—
PEG Ratio;—;—;—;—;—;5.81;4.15;2.57;3.82;—;—;—;—
Earnings Yield %;—;—;—;—;—;2.21;3.72;6.31;4.62;3.03;4.64;4.15;—
Enterprise Value (Bil);—;—;—;—;—;2.25;1.96;1.92;2.78;3.27;3.90;2.43;—
Enterprise Value/EBIT;—;—;—;—;—;19.56;13.39;10.70;16.00;23.47;17.46;16.38;—
Enterprise Value/EBITDA;—;—;—;—;—;14.46;10.47;8.74;12.91;17.94;14.50;12.67;—
