Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.16;2.06;2.73;3.26;3.11;2.89;3.96;3.73;4.32;4.13;3.82;3.83;3.01
Price/Earnings;13.37;14.19;23.66;23.23;46.00;36.87;46.53;375.53;69.03;92.33;44.17;87.19;25.53
Price/Cash Flow;9.85;9.53;14.60;15.78;18.49;14.07;18.77;20.81;22.46;19.97;14.21;19.60;17.03
Price/Book;3.25;3.39;4.23;5.31;4.56;4.62;4.40;2.89;3.50;3.06;2.89;3.64;4.19
Price/Forward Earnings;11.64;11.56;16.34;20.96;18.38;17.42;20.41;18.48;21.65;19.92;19.01;19.73;—
PEG Ratio;1.28;1.20;1.65;1.73;1.70;1.83;2.09;1.73;2.84;1.75;1.78;2.08;—
Earnings Yield %;7.48;7.05;4.23;4.30;2.17;2.71;2.15;0.27;1.45;1.08;2.26;1.58;—
Enterprise Value (Bil);17.12;16.82;22.69;28.08;43.94;44.94;56.77;80.97;92.58;87.79;85.76;75.20;—
Enterprise Value/EBIT;9.51;10.16;17.41;16.94;39.59;30.74;37.92;43.09;51.01;58.02;36.45;48.50;—
Enterprise Value/EBITDA;7.43;7.78;12.27;12.65;21.96;17.45;21.96;20.99;22.76;23.94;18.84;22.78;—
