Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.31;3.57;5.04;5.73;5.52;7.52;11.64;11.79;13.05;18.61;17.00;12.76;3.07
Price/Earnings;25.92;33.67;46.16;113.32;—;—;—;—;273.82;158.21;50.98;205.10;25.84
Price/Cash Flow;12.38;14.17;21.57;21.97;27.75;51.08;—;194.16;39.51;45.97;45.77;1,341.93;17.36
Price/Book;3.76;3.94;5.25;6.02;7.92;15.53;215.20;—;—;968.85;58.05;220.23;4.27
Price/Forward Earnings;14.86;17.45;35.34;65.79;102.04;1,666.67;90.91;40.16;41.49;59.88;60.61;182.70;—
PEG Ratio;0.99;1.45;3.52;4.38;6.30;68.36;2.85;0.80;0.81;1.82;2.23;6.67;—
Earnings Yield %;3.86;3.00;2.17;0.88;-2.04;-2.70;-2.45;-1.14;0.37;0.63;1.96;-0.80;—
Enterprise Value (Bil);5.54;6.72;10.04;12.51;12.93;15.99;23.22;28.68;41.39;67.62;66.67;35.45;—
Enterprise Value/EBIT;16.48;19.22;30.29;75.46;278.70;—;—;—;157.78;121.74;106.34;96.35;—
Enterprise Value/EBITDA;12.39;14.21;21.74;40.50;67.32;—;—;—;107.75;99.65;88.45;-37.10;—
