Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.88;8.52;8.27;9.91;9.67;8.92;6.51;5.18;7.59;5.95;8.57;6.75;3.01
Price/Earnings;73.82;71.56;56.43;33.52;20.67;16.89;20.32;19.76;27.99;7.43;9.08;18.75;25.53
Price/Cash Flow;13.51;16.40;13.32;18.88;17.16;22.04;12.00;9.73;14.41;11.37;15.44;13.69;17.03
Price/Book;1.39;1.65;1.72;2.20;2.22;2.02;1.48;1.15;1.82;1.19;1.60;1.50;4.19
Price/Forward Earnings;51.02;28.65;37.04;31.45;43.29;41.67;29.50;31.85;32.36;34.48;47.39;34.54;—
PEG Ratio;7.91;3.95;5.10;4.33;—;—;0.59;3.13;7.34;32.55;2.53;8.89;—
Earnings Yield %;1.35;1.40;1.77;2.98;4.84;5.92;4.92;5.06;3.57;13.46;11.01;6.64;—
Enterprise Value (Bil);10.38;11.90;11.98;14.82;16.24;15.52;13.11;10.90;14.21;11.06;13.45;12.81;—
Enterprise Value/EBIT;32.18;45.46;62.30;45.78;42.84;56.93;39.18;29.45;30.90;10.84;11.48;32.24;—
Enterprise Value/EBITDA;18.05;22.68;26.72;25.04;22.85;24.90;18.69;15.77;19.11;8.48;9.17;16.80;—
