Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.31;0.56;1.28;1.87;1.65;1.49;1.03;0.81;0.16;1.21;0.95;0.96;3.01
Price/Earnings;58.33;10.32;5.66;26.17;19.44;17.45;13.48;14.93;—;16.34;8.71;15.53;25.53
Price/Cash Flow;—;8.49;17.02;27.47;10.71;15.43;8.72;11.85;—;6.84;7.34;12.28;17.03
Price/Book;1.75;2.51;3.16;4.73;4.43;3.71;2.29;1.71;0.62;4.46;2.75;2.64;4.19
Price/Forward Earnings;11.67;9.23;18.45;24.10;17.24;15.04;13.76;9.32;-2.57;12.59;10.92;17.22;—
PEG Ratio;0.78;0.12;1.85;2.41;1.72;1.50;1.38;0.93;—;—;—;1.55;—
Earnings Yield %;1.71;9.69;17.67;3.82;5.14;5.73;7.42;6.70;-185.71;6.12;11.48;-21.77;—
Enterprise Value (Mil);42.29;85.34;235.00;433.90;443.74;584.61;384.14;286.92;90.28;516.76;425.41;371.38;—
Enterprise Value/EBIT;44.42;8.24;17.40;16.82;10.49;12.55;7.72;11.09;—;13.15;5.73;16.33;—
Enterprise Value/EBITDA;7.77;6.26;13.95;14.68;9.66;10.98;6.59;8.25;—;10.47;5.08;9.62;—
