Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.19;1.64;2.23;2.79;2.08;2.70;3.05;2.51;2.81;4.91;20.87;3.44;3.01
Price/Earnings;203.75;—;—;55.03;26.57;9.97;26.24;16.35;20.47;—;15.69;20.28;25.53
Price/Cash Flow;5.77;7.93;12.15;12.41;8.65;10.84;11.68;9.77;10.64;—;14.66;10.54;17.03
Price/Book;0.98;1.24;1.60;1.58;1.17;1.44;1.52;1.18;1.27;1.29;1.49;1.30;4.19
Price/Forward Earnings;-47.39;47.85;15.70;13.00;21.93;35.46;29.24;—;—;-16.92;—;24.00;—
PEG Ratio;—;11.95;3.92;3.25;—;—;—;—;—;—;—;—;—
Earnings Yield %;0.49;-2.24;0.00;1.82;3.76;10.03;3.81;6.11;4.89;-13.77;-11.61;2.26;—
Enterprise Value (Bil);2.76;3.06;3.86;4.76;3.86;4.14;4.46;3.51;3.63;3.16;3.34;3.67;—
Enterprise Value/EBIT;56.95;40.81;37.43;32.60;21.00;10.46;23.34;14.20;15.57;—;87.52;21.37;—
Enterprise Value/EBITDA;16.07;13.70;15.74;15.76;11.00;7.41;12.62;8.87;9.55;—;652.25;46.26;—
