Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.34;0.48;0.53;0.42;0.40;0.39;0.59;0.42;0.65;0.35;0.92;0.50;1.50
Price/Earnings;9.27;13.85;17.47;27.03;13.65;11.97;16.01;11.33;13.84;—;5.04;13.30;24.83
Price/Cash Flow;6.88;5.38;6.66;7.03;4.46;5.09;4.18;3.15;7.22;8.13;12.59;5.24;11.13
Price/Book;0.81;1.00;1.03;0.98;1.05;1.08;1.45;1.43;1.49;0.76;1.33;1.23;1.87
Price/Forward Earnings;8.11;—;11.72;10.74;10.21;—;—;—;—;—;—;—;—
PEG Ratio;4.05;—;1.03;0.94;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.79;7.22;5.72;3.70;7.33;8.35;6.24;8.82;7.23;-1.99;-18.08;6.16;—
Enterprise Value (Bil);0.49;0.60;0.63;0.68;0.70;0.80;0.98;0.96;1.53;1.31;1.55;1.06;—
Enterprise Value/EBIT;9.15;11.22;10.92;14.75;9.46;11.80;10.39;11.49;13.21;102.44;115.11;21.93;—
Enterprise Value/EBITDA;5.62;6.86;7.04;7.70;6.48;7.08;6.62;7.45;8.74;21.73;77.62;11.14;—
