Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.01;0.95;1.46;1.54;1.44;1.75;1.74;1.79;1.53;2.20;2.63;1.79;3.07
Price/Earnings;17.53;16.80;25.50;27.90;27.31;29.06;30.45;27.39;24.81;100.21;84.82;42.71;25.84
Price/Cash Flow;8.60;8.23;12.81;12.51;12.27;13.36;13.19;13.25;10.90;19.61;17.34;13.96;17.36
Price/Book;2.08;2.21;3.34;3.94;3.81;4.63;4.58;4.62;4.37;6.02;6.73;4.79;4.27
Price/Forward Earnings;16.67;14.08;20.79;24.15;21.01;24.33;24.88;22.99;22.03;29.15;30.77;30.75;—
PEG Ratio;1.18;1.41;2.08;2.42;2.10;2.43;2.48;2.30;2.20;2.91;3.08;3.09;—
Earnings Yield %;5.70;5.95;3.92;3.58;3.66;3.44;3.28;3.65;4.03;1.00;1.18;3.19;—
Enterprise Value (Bil);1.03;1.13;1.92;2.34;2.51;3.38;3.69;4.13;4.36;5.93;7.03;4.31;—
Enterprise Value/EBIT;11.03;10.07;16.34;18.32;18.09;19.21;20.51;21.40;22.66;105.15;79.18;40.52;—
Enterprise Value/EBITDA;7.59;7.11;11.54;12.57;12.22;13.23;13.59;14.10;14.40;33.94;33.72;17.74;—
