Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.08;1.16;1.97;1.65;2.04;1.30;1.54;0.82;0.95;1.40;1.92;1.24;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;48.65;259.94;25.84
Price/Cash Flow;25.56;7.56;22.31;32.88;15.64;7.14;10.27;9.13;83.01;27.81;29.71;25.26;17.36
Price/Book;2.51;1.26;2.08;1.80;2.10;1.39;2.38;1.52;1.24;1.67;1.55;1.60;4.27
Price/Forward Earnings;17.18;11.93;39.53;27.70;26.25;15.02;19.16;11.48;13.09;23.47;24.51;16.91;—
PEG Ratio;0.85;1.99;3.43;2.31;—;0.78;1.14;0.43;—;18.06;3.68;3.09;—
Earnings Yield %;—;-0.11;-3.95;-3.76;-0.72;-0.10;-7.97;-0.93;-11.72;-2.08;-3.10;-5.09;—
Enterprise Value (Bil);3.88;1.96;3.25;2.85;3.48;3.05;3.94;3.37;2.50;3.00;2.36;3.00;—
Enterprise Value/EBIT;36.80;239.15;—;—;501.91;48.71;—;41.88;—;—;27.91;23.08;—
Enterprise Value/EBITDA;27.34;12.38;54.77;26.12;19.96;13.87;36.67;9.77;41.24;14.27;17.82;23.40;—
