Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.23;0.36;0.30;0.46;0.66;0.94;1.01;1.08;0.80;0.80;0.88;0.88;1.89
Price/Earnings;14.67;—;—;—;14.48;17.85;22.10;20.07;16.30;10.33;15.50;18.93;18.67
Price/Cash Flow;—;15.47;5.99;6.28;7.75;15.70;9.34;17.34;7.42;5.59;5.45;10.35;10.50
Price/Book;1.01;2.01;2.25;3.50;2.49;2.75;2.67;1.82;1.77;1.57;1.70;2.06;1.64
Price/Forward Earnings;8.70;16.16;-82.64;15.97;13.68;11.92;13.61;9.45;9.03;10.67;11.66;11.22;—
PEG Ratio;1.58;0.67;—;0.67;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.82;-26.01;-33.44;-0.18;6.90;5.60;4.53;4.98;6.14;9.68;6.45;6.27;—
Enterprise Value (Bil);0.71;1.08;0.84;1.09;1.25;1.62;1.72;1.28;1.71;1.65;1.74;1.59;—
Enterprise Value/EBIT;7.14;—;—;32.53;15.64;13.70;12.78;45.00;13.11;10.20;12.11;17.55;—
Enterprise Value/EBITDA;1.92;11.63;12.19;11.00;7.93;7.88;8.25;12.96;7.12;5.54;6.27;8.19;—
