Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.12;0.07;0.21;0.33;0.29;0.33;0.22;0.14;0.20;0.21;0.63;0.23;3.01
Price/Earnings;8.71;20.28;11.75;6.88;17.22;—;19.82;77.12;—;—;40.13;47.89;25.53
Price/Cash Flow;13.51;—;5.34;4.86;—;13.56;—;14.31;—;6.81;26.28;11.49;17.03
Price/Book;0.66;0.48;1.13;1.21;1.07;1.26;0.77;0.60;0.70;0.68;2.01;0.85;4.19
Price/Forward Earnings;5.85;9.71;10.56;—;13.12;17.95;—;—;-61.73;—;—;41.86;—
PEG Ratio;0.53;0.84;0.91;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;11.48;4.93;8.51;14.53;5.81;-1.08;5.04;1.30;-10.76;-21.49;-8.66;-7.59;—
Enterprise Value (Bil);0.82;0.64;0.90;1.15;1.02;1.58;1.73;1.76;0.91;0.91;1.95;1.39;—
Enterprise Value/EBIT;8.41;10.27;7.36;4.30;8.40;31.66;18.45;80.57;121.47;—;108.05;37.09;—
Enterprise Value/EBITDA;5.60;5.58;5.21;3.54;5.52;12.83;8.56;13.20;10.85;—;44.35;10.05;—
