Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;7.42;21.76;12.09;4.27;4.33;4.30;3.43;2.86;2.62;3.52;3.42;3.07
Price/Earnings;—;—;—;2,736.50;99.31;—;182.43;18.71;52.77;—;78.29;96.70;25.84
Price/Cash Flow;—;—;322.40;84.59;29.83;33.99;20.43;20.11;14.64;12.94;15.45;20.13;17.36
Price/Book;—;7.23;24.88;7.41;3.14;3.96;3.80;2.54;3.53;3.02;3.67;3.16;4.27
Price/Forward Earnings;—;-10,000.00;238.10;85.47;95.24;158.73;84.75;47.39;26.32;27.70;76.34;65.20;—
PEG Ratio;—;—;15.85;5.71;—;—;12.11;7.88;—;—;—;—;—
Earnings Yield %;—;-1.86;-0.29;0.04;1.01;-1.23;0.55;5.34;1.89;-1.04;-0.32;1.17;—
Enterprise Value (Bil);—;0.35;3.98;3.09;1.55;2.56;2.92;2.03;2.34;2.08;2.63;2.29;—
Enterprise Value/EBIT;—;—;—;2,663.76;—;—;142.64;109.68;76.52;—;109.20;88.23;—
Enterprise Value/EBITDA;—;—;16,644.70;181.80;77.38;183.08;47.58;34.14;29.76;112.01;75.18;60.98;—
