Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.49;0.65;0.72;0.75;0.60;0.69;0.67;0.62;0.57;0.54;0.58;0.62;3.01
Price/Earnings;30.41;12.04;14.09;22.27;22.75;—;37.06;13.93;—;—;149.71;40.81;25.53
Price/Cash Flow;12.55;9.82;15.73;18.35;15.89;12.46;15.38;17.88;38.92;58.44;19.58;19.55;17.03
Price/Book;1.00;1.48;1.76;1.80;1.44;1.75;1.51;1.36;1.24;1.44;1.59;1.44;4.19
Price/Forward Earnings;11.26;9.94;12.06;22.27;19.72;23.36;—;51.55;49.26;-153.85;2,000.00;15.77;—
PEG Ratio;0.53;0.50;0.60;1.11;1.31;1.56;—;—;4.92;—;222.00;—;—
Earnings Yield %;3.26;8.31;7.10;4.49;4.40;-3.04;2.70;7.18;-0.88;-14.10;-13.87;-1.91;—
Enterprise Value (Mil);129.94;290.12;352.91;402.66;353.30;423.49;398.95;427.70;526.61;518.53;537.85;453.95;—
Enterprise Value/EBIT;12.29;8.99;10.25;14.40;14.50;—;26.93;27.97;146.52;—;146.52;24.56;—
Enterprise Value/EBITDA;8.12;7.47;8.46;11.59;10.99;—;15.40;15.33;26.09;—;32.00;17.67;—
