Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.82;7.49;9.01;11.19;9.56;7.19;6.79;4.52;3.73;1.87;2.66;4.62;2.06
Price/Earnings;13.94;44.04;—;21.41;17.97;92.96;10.96;51.30;—;—;207.00;61.63;31.62
Price/Cash Flow;12.12;19.23;58.44;19.73;15.77;10.69;16.93;7.54;6.84;3.86;6.01;8.79;17.41
Price/Book;0.70;0.75;0.96;1.56;1.02;0.88;0.81;0.58;0.50;0.36;0.52;0.60;2.50
Price/Forward Earnings;9.94;11.57;17.18;16.26;—;12.14;11.47;9.17;7.45;4.36;5.90;8.47;—
PEG Ratio;34.27;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.17;2.27;-0.30;4.67;—;1.08;9.13;1.95;-10.64;-86.25;-31.94;-21.28;—
Enterprise Value (Bil);2.30;1.74;1.78;2.81;—;3.22;3.07;2.68;2.10;1.72;1.79;2.49;—
Enterprise Value/EBIT;17.46;43.80;80.95;33.58;—;45.13;13.93;41.31;—;—;43.40;29.76;—
Enterprise Value/EBITDA;17.46;43.80;80.95;33.58;—;44.38;13.87;40.73;—;—;42.72;29.43;—
