Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.23;0.41;0.30;0.28;0.14;0.29;0.34;0.30;0.33;0.76;1.38;0.45;3.07
Price/Earnings;—;—;—;—;—;—;—;42.74;7.47;30.77;3.39;86.03;25.84
Price/Cash Flow;—;10.07;10.50;—;—;37.64;7.30;—;5.16;11.62;21.50;15.36;17.36
Price/Book;0.65;1.31;1.02;0.97;0.58;1.40;1.51;1.15;1.09;2.46;1.98;1.56;4.27
Price/Forward Earnings;5.93;16.00;-11.14;-13.04;—;—;—;—;9.43;11.45;12.85;—;—
PEG Ratio;0.54;1.33;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;-42.08;-3.95;-17.26;-48.67;-42.98;-40.71;-1.05;2.34;13.38;3.25;29.53;-4.07;—
Enterprise Value (Mil);30.46;117.53;67.71;56.94;21.19;49.41;50.65;52.14;57.59;153.46;313.20;82.35;—
Enterprise Value/EBIT;—;26.12;—;—;—;—;38.96;50.63;12.20;17.52;15.01;-7.25;—
Enterprise Value/EBITDA;—;10.40;—;—;—;—;7.50;8.36;6.44;11.48;12.03;1.73;—
