Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.26;0.18;0.20;0.23;1.03;1.08;1.04;0.74;0.59;0.66;0.72;0.82;1.89
Price/Earnings;5.79;—;—;—;15.03;4.17;34.84;—;20.50;32.91;30.94;20.22;18.67
Price/Cash Flow;3.52;3.37;3.68;7.82;—;33.82;19.59;160.29;11.89;8.64;11.05;42.23;10.50
Price/Book;0.51;0.37;0.40;0.53;2.00;1.41;1.27;0.66;0.80;0.73;0.77;0.99;1.64
Price/Forward Earnings;6.78;3.97;12.72;—;—;—;—;—;16.53;—;—;—;—
PEG Ratio;0.75;0.44;1.41;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;17.26;-1.94;-14.11;-31.93;6.65;23.97;2.87;-53.49;4.88;3.04;3.23;-4.04;—
Enterprise Value (Mil);262.16;198.36;207.13;221.45;383.65;382.99;334.24;14.66;90.96;71.62;86.91;189.22;—
Enterprise Value/EBIT;4.02;21.41;—;—;12.48;12.46;25.38;—;7.80;15.44;14.12;6.98;—
Enterprise Value/EBITDA;3.02;8.12;28.76;—;9.44;9.52;13.69;—;3.75;4.08;4.57;161.08;—
