Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.11;0.93;0.60;0.56;0.53;0.24;0.36;0.38;0.32;0.41;0.84;0.36;3.01
Price/Earnings;22.00;36.90;18.81;30.47;93.10;70.59;—;26.73;23.36;—;16.69;57.09;25.53
Price/Cash Flow;10.91;7.76;10.96;5.00;5.37;3.09;6.23;4.17;4.79;2.64;6.93;4.24;17.03
Price/Book;2.17;2.30;1.50;1.42;1.43;0.67;1.02;1.17;1.10;1.50;2.97;1.13;4.19
Price/Forward Earnings;11.43;14.03;24.69;18.02;30.21;77.52;-270.27;18.73;17.45;17.67;17.95;93.59;—
PEG Ratio;0.46;0.86;1.81;0.90;1.51;3.87;—;—;—;—;—;—;—
Earnings Yield %;4.55;2.71;5.32;3.28;1.07;1.42;-1.49;3.74;4.28;-9.18;5.99;-0.97;—
Enterprise Value (Bil);3.74;3.57;2.46;2.01;1.75;0.68;1.04;1.10;2.43;2.07;3.31;1.51;—
Enterprise Value/EBIT;12.03;20.50;11.44;10.33;17.72;8.65;—;7.39;26.84;—;13.31;28.40;—
Enterprise Value/EBITDA;6.85;8.95;5.41;4.74;5.63;2.44;5.39;3.29;9.46;12.34;8.09;15.69;—
