Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.43;0.43;0.72;0.57;0.36;1.01;1.28;1.50;1.23;0.96;0.95;1.12;3.07
Price/Earnings;16.93;13.87;17.40;—;—;—;—;12.45;20.19;10.80;13.35;37.82;25.84
Price/Cash Flow;9.62;5.07;8.19;9.60;2.56;7.42;—;—;31.87;4.29;6.82;282.60;17.36
Price/Book;0.90;0.86;1.29;1.11;0.46;0.81;0.91;1.04;1.38;1.05;1.01;0.97;4.27
Price/Forward Earnings;10.63;10.74;14.95;10.67;-14.35;-78.13;34.84;17.24;—;—;10.93;93.58;—
PEG Ratio;1.06;1.07;1.49;1.07;—;—;—;1.73;—;—;—;—;—
Earnings Yield %;5.91;7.21;5.75;-4.38;-27.79;-17.48;-1.20;8.03;4.95;9.26;7.49;0.57;—
Enterprise Value (Mil);311.40;295.91;435.18;335.17;113.23;154.55;179.49;226.73;312.93;292.26;287.00;212.24;—
Enterprise Value/EBIT;9.99;10.81;12.70;—;—;—;—;14.63;15.38;8.72;10.14;14.36;—
Enterprise Value/EBITDA;8.08;6.78;8.88;—;—;—;56.69;9.84;9.45;6.13;6.76;-4.87;—
