Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.28;0.27;0.42;0.43;0.31;0.53;0.54;0.25;0.19;0.36;0.45;0.36;3.01
Price/Earnings;13.71;—;168.04;4.98;—;34.96;23.71;11.26;14.53;—;25.48;49.51;25.53
Price/Cash Flow;11.20;5.51;8.49;8.21;6.19;12.53;10.16;6.33;4.69;5.01;5.46;8.01;17.03
Price/Book;1.25;1.28;2.10;1.54;1.20;1.95;2.11;1.06;0.75;1.24;2.36;1.45;4.19
Price/Forward Earnings;6.84;9.90;17.86;21.46;12.06;12.63;12.87;5.41;—;—;7.51;11.71;—
PEG Ratio;0.23;0.25;0.45;2.47;—;—;—;0.61;—;—;0.84;—;—
Earnings Yield %;7.19;-1.82;0.60;20.07;-2.65;2.86;4.22;8.88;6.88;-0.88;-25.80;1.83;—
Enterprise Value (Bil);0.58;0.52;0.72;0.74;0.52;0.82;1.47;0.99;0.82;0.98;1.12;1.04;—
Enterprise Value/EBIT;13.07;44.47;22.95;18.69;—;23.63;19.84;10.35;11.56;27.17;29.12;42.79;—
Enterprise Value/EBITDA;5.71;7.62;7.93;8.00;10.45;9.58;10.16;5.72;5.57;8.71;9.34;8.52;—
