Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;6.05;9.16;14.10;14.16;7.46;7.05;7.17;7.30;9.59;8.93;7.80;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;21.51;30.82;75.06;34.65;15.45;14.03;17.15;21.41;25.52;23.57;19.04;17.36
Price/Book;—;15.54;14.38;20.02;27.83;13.38;20.01;14.26;14.94;46.07;36.20;21.07;4.27
Price/Forward Earnings;—;112.36;250.00;384.62;95.24;45.05;42.92;37.31;46.73;64.94;51.81;45.01;—
PEG Ratio;—;—;16.62;9.85;3.01;3.00;2.14;1.87;2.53;2.97;2.46;2.29;—
Earnings Yield %;—;-0.09;-0.85;-2.71;-1.19;-2.25;-1.70;-0.70;-0.47;-0.88;-1.23;-1.18;—
Enterprise Value (Bil);—;3.34;3.73;9.57;14.86;10.58;12.35;16.29;21.61;34.64;36.66;18.88;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;2,462.49;-80.30;—
Enterprise Value/EBITDA;—;3,725.64;—;—;—;—;—;445.12;128.24;297.82;914.33;-114.11;—
