Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.74;0.97;1.32;2.27;2.73;2.10;2.96;2.27;2.61;3.35;87.76;7.01;3.07
Price/Earnings;8.60;425.00;148.19;27.85;39.23;14.49;16.12;11.66;14.58;—;67.42;17.38;25.84
Price/Cash Flow;3.62;5.40;7.27;11.19;11.84;7.62;8.67;6.57;7.31;—;4.24;7.21;17.36
Price/Book;0.64;0.90;1.19;2.00;2.67;2.00;2.44;1.80;2.33;2.13;2.38;2.09;4.27
Price/Forward Earnings;7.95;19.19;20.49;17.57;16.47;12.06;13.87;9.81;12.61;-6.58;—;13.04;—
PEG Ratio;0.51;2.47;0.96;0.68;0.69;0.70;0.88;0.70;1.20;—;—;1.18;—
Earnings Yield %;11.63;0.24;0.67;3.59;2.55;6.90;6.20;8.58;6.86;-26.39;-28.87;1.12;—
Enterprise Value (Bil);13.71;15.73;18.17;24.88;30.41;27.14;32.99;30.36;39.00;34.25;38.35;31.98;—
Enterprise Value/EBIT;14.47;42.06;43.30;26.72;35.91;17.86;17.28;14.53;16.53;—;40.87;18.25;—
Enterprise Value/EBITDA;8.39;14.24;15.50;14.63;18.34;11.35;11.56;9.85;10.95;—;13.27;11.14;—
