Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.94;0.85;1.67;1.84;2.12;0.66;1.00;1.60;2.15;2.38;3.05;1.62;3.07
Price/Earnings;12.70;—;53.30;25.03;43.75;—;70.78;39.31;26.72;36.90;46.74;51.81;25.84
Price/Cash Flow;8.27;8.45;26.10;13.41;24.04;16.78;9.62;15.92;16.75;16.43;17.04;15.23;17.36
Price/Book;1.12;1.15;2.04;2.06;2.48;1.23;1.75;2.38;2.33;2.17;2.46;2.03;4.27
Price/Forward Earnings;12.44;12.64;17.42;18.94;14.79;9.09;13.12;18.45;16.05;21.65;26.53;17.15;—
PEG Ratio;1.07;1.05;1.45;1.58;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.87;-0.86;1.88;4.00;2.29;-3.50;1.41;2.54;3.74;2.71;2.14;1.76;—
Enterprise Value (Bil);0.67;0.76;1.27;1.36;1.72;2.61;3.03;3.41;3.48;3.46;3.86;3.26;—
Enterprise Value/EBIT;8.77;30.51;26.32;18.18;35.42;38.45;24.17;20.38;19.95;28.89;34.76;27.14;—
Enterprise Value/EBITDA;5.44;10.63;14.58;12.14;20.21;17.07;13.58;12.91;13.79;17.36;20.18;16.28;—
