Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.51;0.64;0.83;0.62;0.25;0.30;0.74;1.11;1.13;1.01;0.67;0.83;3.07
Price/Earnings;15.62;9.78;14.80;—;—;—;—;—;18.23;2.36;33.13;15.18;25.84
Price/Cash Flow;3.88;4.68;9.54;5.77;2.21;2.34;7.95;7.18;9.31;4.90;14.25;6.24;17.36
Price/Book;0.53;0.74;0.93;0.91;0.40;1.27;7.63;—;—;4.74;6.68;4.50;4.27
Price/Forward Earnings;18.73;35.34;16.58;14.86;10.21;21.14;27.55;12.82;10.79;7.54;62.89;15.29;—
PEG Ratio;—;1.25;0.50;0.36;0.38;24.58;—;—;0.31;—;3.14;4.27;—
Earnings Yield %;6.40;10.22;6.75;-3.34;-0.34;-149.27;-6.11;-7.46;5.48;42.37;3.02;-10.53;—
Enterprise Value (Bil);12.07;21.46;24.13;28.14;21.79;20.67;24.70;17.12;16.33;14.63;19.53;19.30;—
Enterprise Value/EBIT;79.93;23.50;21.19;59.00;17.98;—;81.79;—;16.31;10.41;22.19;15.71;—
Enterprise Value/EBITDA;9.95;10.48;9.82;14.43;7.41;—;14.38;20.12;11.03;7.75;12.38;15.04;—
