Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;6.44;8.29;7.39;4.89;4.37;8.06;8.07;6.85;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;451.23;—;25.84
Price/Cash Flow;—;—;—;—;72.03;—;34.96;33.29;—;34.86;76.10;251.69;17.36
Price/Book;—;—;—;—;1.57;2.57;2.89;1.94;2.78;7.25;5.27;3.51;4.27
Price/Forward Earnings;—;—;—;—;-769.23;86.96;50.25;47.17;-43.67;-1,000.00;121.95;100.85;—
PEG Ratio;—;—;—;—;—;—;—;9.43;—;—;—;—;—
Earnings Yield %;—;—;—;—;-3.55;-3.40;-0.51;-1.68;-3.24;-1.11;0.22;-2.02;—
Enterprise Value (Bil);—;—;—;—;4.04;6.39;7.42;5.50;9.72;30.16;26.90;11.67;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;128.61;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;81.24;—;—;—;78.13;—;—
