Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;2.41;4.22;6.40;3.67;3.13;3.49;—;3.07
Price/Earnings;—;—;—;—;—;4.42;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;70.62;31.08;77.26;—;144.58;682.78;—;17.36
Price/Book;—;—;—;—;—;—;7.12;13.43;5.88;6.24;14.03;—;4.27
Price/Forward Earnings;—;—;—;—;—;26.74;41.84;51.81;59.52;85.47;—;154.66;—
PEG Ratio;—;—;—;—;—;—;1.20;1.33;—;2.86;—;—;—
Earnings Yield %;—;—;—;—;—;22.63;-1.89;-1.99;-3.70;-6.19;-8.22;-1.56;—
Enterprise Value (Bil);—;—;—;—;—;0.29;0.57;1.32;1.29;1.26;1.53;1.04;—
Enterprise Value/EBIT;—;—;—;—;—;42.43;—;—;—;—;417.41;—;—
Enterprise Value/EBITDA;—;—;—;—;—;25.64;—;—;—;—;9,373.80;—;—
