Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.51;0.73;0.94;0.77;0.64;1.00;0.64;0.44;0.63;0.88;0.99;0.65;3.07
Price/Earnings;28.38;29.98;39.15;14.21;—;25.04;18.88;—;54.94;10.92;10.81;21.66;25.84
Price/Cash Flow;9.35;—;158.38;9.46;6.41;10.90;5.39;4.41;7.19;6.26;8.86;6.28;17.36
Price/Book;2.54;3.33;3.69;2.56;1.95;7.52;5.39;6.17;6.18;4.06;5.68;6.11;4.27
Price/Forward Earnings;7.45;10.91;11.17;10.00;8.17;12.52;10.17;8.04;11.47;15.34;18.45;11.31;—
PEG Ratio;0.62;0.77;0.75;3.33;—;—;—;2.01;—;—;—;—;—
Earnings Yield %;3.52;3.34;2.55;7.04;-3.97;3.99;5.30;-3.08;1.82;9.16;-0.50;4.75;—
Enterprise Value (Bil);3.31;5.04;7.44;8.23;6.20;8.84;7.79;6.38;8.50;8.48;9.96;7.67;—
Enterprise Value/EBIT;29.05;22.51;28.73;14.05;885.45;17.16;12.94;23.11;16.86;21.68;56.28;21.72;—
Enterprise Value/EBITDA;12.40;12.93;16.50;9.62;20.06;10.36;8.20;10.35;10.19;11.39;18.24;10.39;—
