Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.39;0.16;0.32;0.93;0.53;0.58;0.40;0.17;0.14;0.24;0.89;0.33;3.01
Price/Earnings;—;—;—;42.77;11.23;11.09;48.42;7.90;—;—;32.65;52.25;25.53
Price/Cash Flow;5.93;4.20;9.88;8.49;7.53;10.65;6.19;2.95;2.78;2.43;9.54;6.23;17.03
Price/Book;1.03;0.78;1.69;4.05;2.13;2.21;1.36;0.57;0.60;1.20;3.62;1.24;4.19
Price/Forward Earnings;28.17;-6.93;34.13;31.95;—;—;—;—;40.49;14.22;18.94;—;—
PEG Ratio;—;—;—;1.06;—;—;—;—;—;—;—;—;—
Earnings Yield %;0.00;-79.06;-35.63;2.34;8.91;9.02;2.07;12.66;-34.57;-42.62;3.06;-11.19;—
Enterprise Value (Mil);122.79;20.03;117.47;309.20;161.90;206.17;135.52;57.70;205.08;185.48;362.68;159.58;—
Enterprise Value/EBIT;—;—;—;37.23;7.88;17.64;17.66;4.17;—;—;31.06;18.23;—
Enterprise Value/EBITDA;5.60;3.00;9.79;11.67;4.31;7.52;5.56;1.92;122.58;—;14.72;16.31;—
