Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.20;0.69;1.39;1.67;2.03;1.39;1.21;1.40;1.52;2.51;2.43;1.55;3.07
Price/Earnings;—;34.10;37.24;21.42;19.83;15.67;17.54;60.58;37.94;59.29;29.25;36.23;25.84
Price/Cash Flow;30.98;10.32;23.61;17.15;17.04;11.33;22.15;13.91;11.41;19.86;19.57;15.34;17.36
Price/Book;5.14;2.45;4.37;4.67;4.89;2.78;2.12;2.46;3.21;4.20;3.86;2.86;4.27
Price/Forward Earnings;18.02;12.63;19.12;15.50;17.64;13.99;12.55;16.39;18.35;25.45;20.75;19.11;—
PEG Ratio;0.90;0.56;0.76;0.33;0.42;0.93;—;—;—;—;—;0.64;—
Earnings Yield %;-0.21;2.93;2.69;4.67;5.04;6.38;5.70;1.65;2.64;1.69;3.42;3.63;—
Enterprise Value (Bil);0.39;0.40;0.99;1.34;1.69;1.24;1.16;1.41;1.52;2.14;2.28;1.48;—
Enterprise Value/EBIT;37.46;10.97;24.39;15.02;14.52;10.35;13.27;22.51;21.56;36.73;20.83;20.30;—
Enterprise Value/EBITDA;14.98;5.93;13.75;11.02;11.27;7.98;8.92;12.40;13.13;21.38;15.20;12.36;—
