Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;0.37;0.42;0.28;0.23;0.36;0.19;0.31;0.37;0.37;0.30;3.01
Price/Earnings;—;—;10.71;19.66;15.38;23.94;22.93;8.43;—;11.52;7.28;20.38;25.53
Price/Cash Flow;—;—;31.08;14.14;11.00;7.58;9.97;6.09;6.01;5.46;5.54;7.66;17.03
Price/Book;—;—;3.05;2.81;1.85;1.51;2.37;1.23;1.95;2.41;2.27;1.97;4.19
Price/Forward Earnings;—;—;15.60;13.61;11.88;17.57;20.24;9.96;16.23;14.71;7.14;16.92;—
PEG Ratio;—;—;3.12;2.72;2.37;3.52;4.05;1.99;—;—;—;3.26;—
Earnings Yield %;—;—;9.34;5.09;6.50;4.18;4.36;11.87;-0.41;8.68;13.74;4.95;—
Enterprise Value (Bil);—;—;1.33;1.60;1.13;1.32;1.80;1.18;1.64;1.90;2.33;1.64;—
Enterprise Value/EBIT;—;—;15.49;11.56;9.10;16.44;15.45;7.45;76.10;7.77;4.70;20.80;—
Enterprise Value/EBITDA;—;—;10.73;8.42;6.27;8.82;9.15;4.68;10.26;5.55;4.04;7.92;—
