Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.28;1.71;3.09;2.01;2.98;3.60;4.65;2.91;4.46;7.82;4.94;4.35;3.01
Price/Earnings;—;—;—;—;—;32.54;97.85;—;—;—;85.63;—;25.53
Price/Cash Flow;—;22.09;30.50;12.75;28.17;12.59;22.61;11.93;20.07;100.92;28.86;22.44;17.03
Price/Book;1.67;2.06;4.35;2.93;3.47;4.19;4.49;3.12;3.69;7.17;7.42;4.32;4.19
Price/Forward Earnings;-294.12;63.69;41.84;14.35;10.47;15.04;14.29;15.17;25.25;22.22;20.41;20.57;—
PEG Ratio;—;3.18;2.09;0.72;0.70;1.00;0.71;—;1.26;1.11;1.02;1.06;—
Earnings Yield %;-7.37;-7.97;-4.22;-2.70;-4.96;3.07;1.02;-3.92;-0.75;-2.96;-2.63;-0.77;—
Enterprise Value (Bil);0.00;0.04;0.22;0.15;0.74;1.16;2.07;1.43;1.69;3.15;3.35;1.79;—
Enterprise Value/EBIT;—;—;—;—;—;15.89;—;—;—;—;-116.54;-35.25;—
Enterprise Value/EBITDA;—;—;—;—;141.14;11.47;41.34;21.79;37.18;—;343.74;53.61;—
