Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.34;0.54;1.15;0.72;0.56;0.64;1.19;1.33;1.95;2.13;1.88;1.39;3.07
Price/Earnings;106.40;—;8.50;—;—;—;37.07;45.75;27.34;34.54;31.99;57.03;25.84
Price/Cash Flow;4.07;6.26;27.65;13.77;5.00;16.85;16.57;9.33;14.67;14.35;12.61;12.70;17.36
Price/Book;—;—;—;—;—;—;15.18;6.83;6.23;5.73;13.96;11.83;4.27
Price/Forward Earnings;21.28;17.15;37.31;30.49;19.46;18.69;30.03;—;22.83;26.04;23.92;23.53;—
PEG Ratio;—;—;—;—;—;—;—;—;3.22;3.59;—;—;—
Earnings Yield %;0.94;-0.98;11.76;-6.12;-1.53;-1.56;2.70;2.19;3.66;2.89;3.13;2.11;—
Enterprise Value (Bil);0.45;0.63;1.60;1.67;1.40;1.66;2.57;2.72;3.41;3.71;3.88;2.72;—
Enterprise Value/EBIT;11.28;17.62;86.63;—;32.47;49.46;20.34;12.96;15.12;18.07;20.66;22.54;—
Enterprise Value/EBITDA;6.97;10.82;31.24;29.77;12.91;16.84;12.89;9.65;11.46;13.44;15.46;12.69;—
