Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;1.15;1.57;0.69;0.75;1.10;1.06;1.08;1.44;1.24;1.31;1.17;3.01
Price/Earnings;—;25.03;164.23;—;—;—;158.46;14.47;65.72;—;25.95;542.65;25.53
Price/Cash Flow;—;7.91;13.64;9.08;7.75;11.01;14.32;9.40;11.91;11.32;10.70;11.93;17.03
Price/Book;—;0.90;1.07;0.82;1.29;1.73;1.89;1.95;2.64;2.33;2.41;2.04;4.19
Price/Forward Earnings;—;—;—;—;—;—;22.99;16.58;21.69;22.68;21.60;—;—
PEG Ratio;—;—;—;—;—;—;3.42;0.86;3.10;2.76;1.06;—;—
Earnings Yield %;—;3.99;0.61;-21.56;-3.78;-0.51;0.63;6.91;1.52;0.01;3.85;1.50;—
Enterprise Value (Bil);—;2.02;2.62;5.47;7.52;8.62;10.89;12.20;13.74;12.62;13.30;11.56;—
Enterprise Value/EBIT;—;14.49;24.28;—;62.53;31.17;27.99;18.71;28.54;27.91;16.77;28.47;—
Enterprise Value/EBITDA;—;9.90;14.18;—;19.13;14.87;15.29;11.62;15.96;15.34;11.19;14.87;—
