Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.14;0.15;0.10;0.49;0.37;0.34;0.52;0.52;0.91;0.93;1.61;0.66;3.07
Price/Earnings;13.31;1.54;1.14;—;24.72;64.50;43.91;—;29.42;—;156.68;71.51;25.84
Price/Cash Flow;1.62;1.34;1.07;5.96;4.25;3.69;4.22;3.18;9.09;5.17;8.04;5.07;17.36
Price/Book;—;—;—;639.39;12.59;8.19;7.32;5.28;7.58;6.43;9.85;7.12;4.27
Price/Forward Earnings;6.52;4.75;3.69;20.16;11.04;17.42;—;18.48;—;—;36.63;—;—
PEG Ratio;0.54;0.40;0.31;2.01;—;—;—;—;—;—;—;—;—
Earnings Yield %;7.51;64.82;87.43;-0.47;4.05;1.55;2.28;-0.97;3.40;-1.07;0.64;1.46;—
Enterprise Value (Bil);0.60;0.68;0.65;0.98;0.90;0.95;1.09;1.06;2.17;2.09;3.01;1.50;—
Enterprise Value/EBIT;11.83;13.15;16.84;22.10;14.93;17.89;18.15;16.40;23.65;49.13;36.28;24.69;—
Enterprise Value/EBITDA;5.62;6.21;6.69;9.38;7.60;7.94;8.55;7.87;9.81;10.70;12.58;9.12;—
