Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.59;4.51;4.56;4.23;4.94;5.43;5.98;3.41;4.47;4.45;5.30;4.91;3.01
Price/Earnings;16.63;16.18;16.53;16.39;18.91;21.89;23.32;15.53;17.73;16.76;17.88;19.76;25.53
Price/Cash Flow;12.54;15.02;15.09;14.76;18.54;18.19;20.15;10.40;14.41;12.93;16.90;15.60;17.03
Price/Book;63.59;—;—;—;—;—;—;—;—;—;—;—;4.19
Price/Forward Earnings;14.99;14.71;14.60;16.16;18.59;18.73;20.00;12.64;15.36;14.73;16.50;17.27;—
PEG Ratio;1.37;1.58;1.84;2.66;3.88;3.74;3.82;1.76;2.71;2.23;1.82;2.78;—
Earnings Yield %;6.01;6.18;6.05;6.10;5.29;4.57;4.29;6.44;5.64;5.97;5.59;5.25;—
Enterprise Value (Bil);150.69;158.16;161.87;152.79;162.72;167.14;190.40;129.67;157.70;153.60;179.85;165.53;—
Enterprise Value/EBIT;11.38;11.30;11.84;12.23;14.31;16.34;17.35;10.67;14.56;13.48;14.59;14.80;—
Enterprise Value/EBITDA;10.59;10.62;11.11;11.43;13.38;15.24;16.13;9.87;13.37;12.42;13.51;13.71;—
