Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.46;3.08;2.43;2.70;3.22;3.55;2.52;2.27;2.06;2.60;2.87;2.69;3.07
Price/Earnings;39.11;40.77;31.65;34.27;39.78;42.78;28.60;22.82;21.34;72.52;40.92;36.57;25.84
Price/Cash Flow;22.33;28.54;23.79;22.11;29.85;29.29;21.75;14.96;15.28;20.28;17.07;20.94;17.36
Price/Book;7.66;8.86;6.68;6.94;8.58;10.93;8.44;7.91;7.83;8.72;10.45;9.03;4.27
Price/Forward Earnings;28.57;29.85;26.95;32.89;38.76;31.55;22.88;19.23;19.31;25.19;35.84;28.24;—
PEG Ratio;1.20;1.49;1.35;1.65;1.94;1.48;1.30;1.13;1.87;4.44;1.08;2.22;—
Earnings Yield %;2.56;2.45;3.16;2.92;2.51;2.34;3.50;4.38;4.69;1.38;2.44;3.23;—
Enterprise Value (Bil);3.89;6.07;5.96;7.83;11.42;15.62;13.53;14.23;16.19;17.53;20.20;15.96;—
Enterprise Value/EBIT;22.61;24.35;18.78;20.24;24.09;26.03;17.92;17.19;18.10;45.63;28.31;24.71;—
Enterprise Value/EBITDA;15.88;18.16;14.25;15.30;18.16;19.60;13.51;12.93;13.66;25.52;20.09;17.21;—
