Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;3.66;5.67;6.64;7.39;4.71;5.34;—;3.07
Price/Earnings;—;—;—;—;—;39.07;63.00;133.97;146.76;—;105.56;—;25.84
Price/Cash Flow;—;—;—;—;—;48.19;213.73;111.86;170.64;—;917.35;—;17.36
Price/Book;—;—;—;—;—;4.93;7.55;10.17;12.44;8.03;8.04;—;4.27
Price/Forward Earnings;—;—;—;—;—;149.25;131.58;133.33;116.28;105.26;135.14;190.43;—
PEG Ratio;—;—;—;—;—;—;—;—;23.28;21.15;26.95;—;—
Earnings Yield %;—;—;—;—;—;2.56;1.59;0.75;0.68;-0.98;-0.16;0.59;—
Enterprise Value (Bil);—;—;—;—;—;0.24;0.47;0.80;1.26;0.85;0.97;0.74;—
Enterprise Value/EBIT;—;—;—;—;—;56.00;208.29;138.85;190.74;—;101.30;167.48;—
Enterprise Value/EBITDA;—;—;—;—;—;46.35;136.23;88.88;121.60;—;71.94;104.38;—
