Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.10;2.31;2.32;2.77;2.66;3.58;3.75;2.92;4.31;3.17;3.75;3.42;1.50
Price/Earnings;9.40;65.61;225.57;51.08;59.52;—;55.73;40.06;41.47;18.02;260.71;54.57;24.83
Price/Cash Flow;51.00;44.15;31.70;18.06;8.68;15.89;24.27;12.70;20.79;10.27;8.31;16.41;11.13
Price/Book;1.13;1.31;1.37;1.25;1.22;1.50;1.88;1.60;2.53;1.63;1.93;1.74;1.87
Price/Forward Earnings;20.28;21.55;38.17;25.64;21.98;-37.04;17.48;12.06;250.00;52.91;14.68;88.29;—
PEG Ratio;2.53;2.77;4.89;3.29;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.64;1.52;0.44;1.96;1.68;-2.02;1.79;2.50;2.41;5.55;0.38;2.21;—
Enterprise Value (Bil);2.75;6.39;6.02;8.96;8.52;9.46;10.87;10.85;13.17;11.03;12.04;10.91;—
Enterprise Value/EBIT;3.15;31.48;34.47;30.85;28.13;97.86;39.98;46.37;38.24;27.17;65.96;49.73;—
Enterprise Value/EBITDA;2.71;13.73;13.11;14.71;12.18;15.87;18.18;18.15;18.61;14.19;20.52;16.86;—
