Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.05;0.70;0.86;0.91;0.30;0.56;0.76;0.77;0.73;0.66;0.98;0.70;3.01
Price/Earnings;25.98;21.23;445.38;—;—;—;—;16.13;11.87;—;4.84;13.01;25.53
Price/Cash Flow;26.36;8.28;9.51;36.22;5.94;—;182.92;15.65;11.36;7.74;12.43;49.12;17.03
Price/Book;1.85;1.32;1.56;1.32;0.51;1.18;2.25;1.38;1.20;1.23;5.54;1.69;4.19
Price/Forward Earnings;13.19;10.08;30.96;20.28;149.25;17.30;21.74;10.73;10.82;-34.60;—;21.23;—
PEG Ratio;0.96;0.39;1.22;1.08;—;—;—;0.26;0.67;—;—;—;—
Earnings Yield %;3.85;4.71;0.22;-2.85;-10.93;-51.41;-3.19;6.20;8.42;-18.84;-60.23;-12.40;—
Enterprise Value (Bil);6.28;4.44;5.27;5.04;2.54;3.42;4.83;4.13;3.65;3.10;3.75;3.76;—
Enterprise Value/EBIT;15.76;14.06;62.12;—;171.37;—;250.13;13.07;10.14;—;6.26;-790.42;—
Enterprise Value/EBITDA;11.19;8.71;19.02;44.46;12.59;—;26.80;8.73;7.10;—;25.22;23.80;—
