Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;4.69;6.45;6.25;8.37;8.44;8.49;7.41;5.94;8.12;6.32;9.19;7.13;3.01
Price/Earnings;—;112.11;40.93;22.24;21.48;20.71;21.87;24.21;13.41;17.06;46.35;20.21;25.53
Price/Cash Flow;12.56;14.29;14.21;18.16;17.31;18.02;16.62;12.25;14.32;12.12;18.57;14.45;17.03
Price/Book;1.58;2.06;2.44;2.90;3.10;2.90;2.63;1.82;2.40;1.67;2.53;2.28;4.19
Price/Forward Earnings;52.63;41.84;21.32;54.64;—;34.13;30.30;—;30.30;37.31;64.10;34.18;—
PEG Ratio;13.49;1.72;0.87;2.24;—;—;—;—;—;—;—;—;—
Earnings Yield %;-1.24;0.93;2.44;4.50;4.66;4.83;4.57;4.13;7.46;5.86;2.16;6.01;—
Enterprise Value (Bil);5.22;5.44;5.59;6.27;6.39;6.89;6.40;4.95;5.63;4.44;5.83;5.62;—
Enterprise Value/EBIT;34.71;76.91;53.72;29.79;34.83;28.74;34.18;26.08;16.46;23.33;43.65;25.57;—
Enterprise Value/EBITDA;16.90;24.81;21.53;17.09;19.43;17.41;17.94;13.86;11.74;13.22;20.42;14.65;—
