Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;5.09;6.50;11.80;11.80;8.08;7.69;8.42;7.17;10.00;9.70;9.34;8.71;3.01
Price/Earnings;19.52;21.29;35.94;38.93;31.69;32.84;32.78;21.75;27.04;32.91;29.48;29.66;25.53
Price/Cash Flow;23.94;33.96;32.02;26.23;16.35;21.19;25.15;21.52;22.76;15.11;19.31;21.58;17.03
Price/Book;3.21;4.76;8.23;8.74;4.46;4.09;5.04;4.48;6.30;7.77;6.41;5.63;4.19
Price/Forward Earnings;12.17;16.50;23.20;22.52;20.79;17.64;19.80;15.46;21.19;21.19;20.28;20.18;—
PEG Ratio;1.01;1.17;1.65;1.60;1.15;0.98;1.10;0.86;1.18;1.18;—;1.11;—
Earnings Yield %;5.12;4.70;2.78;2.57;3.16;3.05;3.05;4.60;3.70;3.04;3.39;3.46;—
Enterprise Value (Bil);2.59;5.01;10.45;14.68;15.87;16.66;20.97;19.49;27.97;26.53;24.62;22.46;—
Enterprise Value/EBIT;13.32;15.47;25.68;29.73;24.09;25.97;22.38;18.79;21.04;25.21;23.04;22.76;—
Enterprise Value/EBITDA;11.30;13.33;22.20;24.78;18.85;20.04;17.52;14.87;17.45;20.24;18.59;18.10;—
