Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.05;3.67;5.53;2.56;0.97;1.00;1.81;4.02;6.58;3.20;2.58;3.33;3.07
Price/Earnings;26.25;80.82;160.31;415.33;—;—;—;—;234.34;22.56;38.16;600.80;25.84
Price/Cash Flow;13.79;22.91;47.07;40.22;21.32;19.39;—;—;—;—;—;40.61;17.36
Price/Book;1.87;3.29;6.78;4.64;2.09;2.11;4.09;2.72;5.15;2.36;1.80;3.27;4.27
Price/Forward Earnings;42.37;47.39;54.95;50.51;—;—;-62.11;30.77;39.37;14.29;19.53;32.36;—
PEG Ratio;3.17;2.55;2.74;2.53;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.81;1.24;0.62;0.24;-6.31;-0.19;-6.68;-6.74;0.43;4.43;2.62;-0.58;—
Enterprise Value (Bil);0.17;0.42;0.78;0.39;0.12;0.13;0.27;0.71;2.17;1.68;1.44;1.08;—
Enterprise Value/EBIT;6.75;31.36;72.57;88.57;—;—;—;—;103.41;15.86;26.53;2.31;—
Enterprise Value/EBITDA;5.79;24.13;51.48;39.16;37.19;32.65;—;—;74.88;14.26;21.02;24.07;—
