Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.39;1.32;1.82;1.80;1.50;1.70;1.63;1.21;1.39;1.82;2.01;1.52;3.01
Price/Earnings;17.30;88.83;66.93;27.65;22.02;20.43;29.20;15.60;20.36;31.95;34.85;26.17;25.53
Price/Cash Flow;13.79;9.90;13.99;16.05;11.01;16.03;18.91;13.10;11.33;11.98;14.42;15.68;17.03
Price/Book;9.04;15.10;26.63;17.88;44.20;36.29;67.83;27.01;18.05;26.04;25.04;61.39;4.19
Price/Forward Earnings;15.24;14.45;20.20;19.72;16.72;18.45;18.32;12.30;14.18;19.31;19.46;16.90;—
PEG Ratio;1.35;1.38;2.14;1.64;1.28;2.08;1.86;1.13;1.60;2.13;1.87;1.85;—
Earnings Yield %;5.63;1.13;1.49;3.62;4.54;4.89;3.42;6.41;4.91;3.13;2.87;4.34;—
Enterprise Value (Bil);77.58;75.21;102.94;107.29;94.17;110.01;117.12;102.14;122.25;165.11;197.71;121.52;—
Enterprise Value/EBIT;11.75;55.02;43.62;17.42;14.77;13.77;20.66;13.72;17.39;24.92;26.33;19.66;—
Enterprise Value/EBITDA;9.26;23.32;24.30;13.32;11.19;10.80;14.79;10.53;13.14;17.87;19.23;14.71;—
