Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.42;0.38;0.36;0.49;0.53;0.57;0.74;0.64;0.78;0.36;0.38;0.64;1.50
Price/Earnings;6.88;7.77;8.32;15.40;22.20;18.82;68.09;21.35;22.74;—;4.67;33.33;24.83
Price/Cash Flow;6.08;—;6.99;13.83;16.22;10.02;13.39;10.72;14.01;2.37;3.36;10.43;11.13
Price/Book;1.88;2.12;2.21;2.79;2.93;3.36;4.38;3.78;4.85;1.89;1.49;3.66;1.87
Price/Forward Earnings;—;7.24;7.49;—;—;—;—;—;—;—;—;—;—
PEG Ratio;—;0.35;0.37;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;14.53;12.88;12.02;6.49;4.50;5.31;1.47;4.68;4.40;-1.75;-34.65;3.21;—
Enterprise Value (Bil);0.17;0.38;0.42;0.55;0.64;0.82;1.13;1.14;1.27;0.62;1.07;1.01;—
Enterprise Value/EBIT;4.68;6.53;7.64;13.02;14.87;12.81;25.42;14.45;13.10;92.03;162.42;23.30;—
Enterprise Value/EBITDA;4.12;5.42;5.99;8.95;10.91;10.28;13.26;11.50;9.38;9.04;15.95;10.81;—
