Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.88;1.06;1.23;1.41;1.40;1.55;2.03;1.71;2.04;2.42;2.95;1.88;1.50
Price/Earnings;10.76;13.92;16.96;17.77;16.69;21.38;25.01;16.60;22.76;32.28;65.40;23.66;24.83
Price/Cash Flow;12.87;9.22;12.68;13.25;12.31;11.06;17.89;16.71;20.51;12.74;13.68;15.05;11.13
Price/Book;1.36;1.38;1.59;1.74;1.65;1.81;2.24;1.76;2.05;2.62;3.39;2.03;1.87
Price/Forward Earnings;9.95;11.19;13.74;—;—;—;—;—;—;—;—;—;—
PEG Ratio;3.98;2.60;3.20;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;9.30;7.19;5.90;5.63;5.99;4.68;4.00;6.02;4.39;3.10;1.53;4.58;—
Enterprise Value (Bil);0.23;0.28;0.34;0.42;0.44;0.49;0.64;0.51;0.73;0.90;1.26;0.63;—
Enterprise Value/EBIT;7.70;9.05;11.04;12.59;10.57;12.66;15.93;11.32;15.86;19.53;34.51;14.76;—
Enterprise Value/EBITDA;5.27;6.49;7.94;9.20;7.88;8.56;11.89;8.83;11.98;11.72;15.22;10.13;—
