Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.87;2.11;2.91;1.98;3.47;3.57;4.88;4.46;5.25;6.92;7.87;4.94;3.01
Price/Earnings;12.26;12.52;27.23;27.48;31.92;32.54;31.89;69.55;25.31;51.52;49.47;44.76;25.53
Price/Cash Flow;9.84;11.77;17.13;19.46;28.53;18.90;24.56;20.17;26.57;40.14;33.25;25.84;17.03
Price/Book;2.82;2.74;3.60;2.60;3.29;3.45;4.48;4.71;5.57;7.46;9.33;5.04;4.19
Price/Forward Earnings;9.99;11.92;17.27;22.99;22.08;21.28;25.91;22.12;25.00;31.85;37.04;25.62;—
PEG Ratio;0.74;1.01;4.11;—;2.30;1.88;2.24;2.32;2.32;3.03;2.71;2.38;—
Earnings Yield %;8.16;7.99;3.67;3.64;3.13;3.07;3.14;1.44;3.95;1.94;2.02;2.72;—
Enterprise Value (Bil);10.82;14.23;19.07;13.48;13.35;14.28;20.97;21.04;27.49;37.28;46.44;23.75;—
Enterprise Value/EBIT;9.68;12.44;19.74;17.76;24.45;23.18;23.77;20.61;27.68;40.52;39.90;26.83;—
Enterprise Value/EBITDA;7.89;9.85;14.25;11.80;16.71;16.57;19.16;17.09;22.33;30.36;31.59;20.89;—
