Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;11.06;10.69;18.94;17.32;—;2.06
Price/Earnings;—;—;—;—;—;—;—;152.54;127.57;306.76;241.72;—;31.62
Price/Cash Flow;—;—;—;—;—;—;—;59.29;52.73;79.47;62.05;—;17.41
Price/Book;—;—;—;—;—;—;—;29.00;33.20;59.19;51.30;—;2.50
Price/Forward Earnings;—;—;—;—;—;—;—;—;78.13;142.86;151.52;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;4.06;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;0.66;0.78;0.33;0.41;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;13.06;21.50;57.11;61.35;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;109.87;96.90;230.65;184.48;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;103.55;90.76;209.15;169.88;—;—
