Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;9.80;11.78;6.61;9.31;10.07;10.30;21.33;27.65;12.48;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;82.95;84.91;72.85;62.52;229.74;207.57;119.17;17.36
Price/Book;—;—;—;—;15.56;13.77;15.90;21.54;10.84;24.95;35.35;19.11;4.27
Price/Forward Earnings;—;—;—;-31.85;-85.47;-161.29;192.31;119.05;98.04;285.71;357.14;205.27;—
PEG Ratio;—;—;—;—;—;—;3.82;2.37;1.95;9.47;9.36;—;—
Earnings Yield %;—;—;—;-3.63;-2.94;-2.57;-1.30;-1.34;-0.84;-0.46;-0.34;-1.15;—
Enterprise Value (Bil);—;—;—;1.06;1.83;1.56;3.11;4.69;6.44;17.88;26.95;7.35;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-133.47;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;8,340.66;—;—
