Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.95;0.94;1.27;1.31;0.85;1.30;1.39;0.89;1.07;1.55;1.58;1.29;3.07
Price/Earnings;15.55;14.49;19.27;18.63;10.22;38.96;18.23;9.13;11.32;21.04;21.80;18.22;25.84
Price/Cash Flow;8.92;10.59;9.12;10.64;7.11;10.26;9.52;7.14;9.24;9.55;9.91;9.62;17.36
Price/Book;2.39;2.73;3.23;3.37;2.27;3.21;3.15;2.16;2.75;2.94;2.86;2.87;4.27
Price/Forward Earnings;11.26;12.90;16.13;16.23;11.29;17.76;15.36;9.41;14.37;16.47;15.29;15.07;—
PEG Ratio;0.63;1.19;1.18;1.56;4.60;253.85;2.80;2.12;—;—;1.02;26.34;—
Earnings Yield %;6.43;6.90;5.19;5.37;9.79;2.57;5.49;10.96;8.84;4.75;4.59;6.75;—
Enterprise Value (Bil);16.75;21.39;26.34;29.36;21.81;28.06;30.30;25.48;33.47;35.76;36.48;27.69;—
Enterprise Value/EBIT;11.42;13.41;17.07;15.40;9.06;13.87;15.41;9.76;11.04;20.82;21.48;12.75;—
Enterprise Value/EBITDA;7.87;9.32;11.40;10.46;6.56;9.36;10.01;6.89;8.20;12.85;13.38;8.52;—
