Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;0.23;—;1.37;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;14.20;—;5.88;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;—;1.64;1.03;20.13;—;17.03
Price/Book;—;—;—;—;—;—;—;—;0.39;0.90;4.72;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;—;10.22;32.47;—;—;—
PEG Ratio;—;—;—;—;—;—;—;—;—;4.64;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;7.04;—;-11.73;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;7.50;7.08;9.77;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;11.17;—;5.86;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;6.88;—;4.69;—;—
