Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;3.23;3.04;3.47;3.22;2.99;1.21;1.53;1.19;1.31;1.40;1.76;1.41;3.07
Price/Earnings;21.66;18.58;21.46;18.75;25.91;52.44;68.30;—;22.18;17.32;33.48;39.27;25.84
Price/Cash Flow;18.79;17.30;23.97;16.56;14.05;151.50;17.50;16.82;10.48;7.34;8.38;32.20;17.36
Price/Book;10.38;9.75;10.78;8.59;7.23;2.04;2.64;2.34;2.20;1.98;2.37;2.40;4.27
Price/Forward Earnings;18.98;16.18;20.58;17.70;21.88;13.14;15.85;10.57;10.33;9.59;10.82;12.13;—
PEG Ratio;1.09;0.90;1.58;1.18;1.04;—;—;—;—;—;—;—;—
Earnings Yield %;4.62;5.38;4.66;5.33;3.86;1.91;1.46;-3.39;4.51;5.77;2.99;2.15;—
Enterprise Value (Mil);537.84;538.06;676.13;652.25;523.84;471.39;556.91;485.83;504.04;473.04;545.22;518.60;—
Enterprise Value/EBIT;13.13;13.04;14.50;11.61;17.56;31.41;31.40;—;19.34;15.61;25.27;24.74;—
Enterprise Value/EBITDA;12.48;12.11;13.51;10.91;15.74;18.35;18.12;54.11;13.18;10.87;15.46;24.40;—
