Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;6.48;5.30;5.47;7.46;6.28;7.06;7.42;6.80;7.59;5.06;4.80;6.77;1.89
Price/Earnings;9.92;110.98;29.33;17.66;14.21;22.98;7.54;15.46;9.51;9.31;8.83;12.58;18.67
Price/Cash Flow;9.88;12.33;11.18;19.12;14.84;9.80;14.22;11.80;19.22;10.53;10.00;13.29;10.50
Price/Book;0.91;0.90;1.03;1.12;1.03;1.09;0.93;0.85;0.97;0.61;0.58;0.87;1.64
Price/Forward Earnings;11.24;11.79;12.56;15.55;14.47;13.79;14.33;13.11;14.81;11.51;12.90;13.84;—
PEG Ratio;5.62;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;10.08;0.90;3.41;5.66;7.04;4.35;13.27;6.47;10.52;10.74;11.32;9.42;—
Enterprise Value (Bil);1.76;1.85;2.06;2.35;2.41;2.38;2.35;2.36;2.58;2.18;2.13;2.37;—
Enterprise Value/EBIT;15.83;50.75;33.20;23.28;21.30;29.88;11.85;24.26;15.77;18.88;18.44;19.73;—
Enterprise Value/EBITDA;15.80;50.25;32.95;23.17;21.17;29.72;11.81;24.11;15.59;18.48;18.05;19.55;—
