Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;0.28;0.06;0.18;0.15;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;32.84;26.18;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;4.56;—;4.48;3.24;—;17.36
Price/Book;—;—;—;—;—;1.29;1.31;—;—;—;38.57;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;5.09;—;—;12.71;—;—
PEG Ratio;—;—;—;—;—;—;—;0.64;—;—;—;—;—
Earnings Yield %;—;—;—;—;—;—;-0.53;-4.76;-95.96;3.04;-2.88;-23.33;—
Enterprise Value (Mil);—;—;—;—;—;187.54;190.62;435.40;389.26;567.09;466.92;329.49;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;10.72;6.47;7.29;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;4.70;4.17;4.22;—;—
