Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.57;1.28;1.57;1.52;2.45;2.66;2.09;2.63;2.96;2.52;2.91;2.48;1.76
Price/Earnings;4.41;80.40;17.39;20.86;81.05;18.73;11.65;22.79;27.26;34.75;26.22;26.55;17.62
Price/Cash Flow;2.95;12.12;14.37;11.30;29.79;15.44;10.83;16.26;16.66;18.20;22.86;15.07;9.46
Price/Book;0.89;1.80;2.27;2.69;3.02;3.92;2.74;4.01;4.25;3.44;3.69;3.56;2.05
Price/Forward Earnings;12.63;—;—;—;—;—;—;—;15.06;—;23.15;—;—
PEG Ratio;4.16;—;—;—;—;—;—;—;—;—;—;—;—
Earnings Yield %;22.66;—;—;—;—;5.34;8.58;—;3.67;—;3.81;4.84;—
Enterprise Value (Bil);15.32;—;—;—;—;78.09;74.67;—;133.97;—;132.87;99.95;—
Enterprise Value/EBIT;5.13;—;—;—;—;13.00;9.00;—;22.07;—;23.49;20.02;—
Enterprise Value/EBITDA;4.20;—;—;—;—;10.85;7.65;—;15.65;—;14.50;13.07;—
