Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.08;0.80;1.39;1.44;1.84;0.97;2.36;2.36;2.50;3.00;3.25;2.16;3.07
Price/Earnings;5.54;—;11.24;16.89;11.64;6.55;—;—;—;47.33;18.76;58.86;25.84
Price/Cash Flow;9.62;3.52;5.07;—;13.07;—;5.99;15.28;—;16.62;36.95;32.76;17.36
Price/Book;0.73;0.75;1.23;0.93;1.25;0.56;1.28;0.86;1.14;1.94;1.70;1.11;4.27
Price/Forward Earnings;7.45;7.57;12.90;9.43;16.08;85.47;46.95;16.95;16.61;26.53;23.42;36.37;—
PEG Ratio;0.64;—;—;—;—;—;—;0.85;0.49;1.06;8.24;—;—
Earnings Yield %;18.04;-3.60;8.89;5.92;8.59;15.27;-6.21;-7.70;-0.07;2.11;5.33;-0.22;—
Enterprise Value (Bil);2.76;2.25;4.13;3.58;5.19;2.03;4.75;2.19;4.99;9.31;8.57;4.26;—
Enterprise Value/EBIT;4.60;—;8.42;12.40;8.72;4.45;—;41.31;92.92;53.07;15.09;14.59;—
Enterprise Value/EBITDA;3.41;9.49;5.71;6.71;6.09;2.93;—;13.03;20.36;23.04;10.61;16.30;—
