Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.01;0.98;1.19;1.25;1.24;1.71;1.13;0.81;0.78;0.62;0.69;0.95;3.07
Price/Earnings;12.78;17.09;21.52;31.81;27.98;37.86;23.16;12.05;—;—;81.07;27.22;25.84
Price/Cash Flow;9.48;10.82;10.69;15.00;12.58;18.03;11.52;8.77;9.14;5.19;5.21;9.94;17.36
Price/Book;1.92;1.81;2.12;2.06;2.41;3.50;2.16;1.49;1.66;1.52;1.74;1.95;4.27
Price/Forward Earnings;10.89;10.94;14.84;16.78;16.45;21.05;13.68;9.77;—;—;—;13.82;—
PEG Ratio;1.04;1.09;1.48;1.53;1.37;1.91;1.37;1.08;—;—;—;1.43;—
Earnings Yield %;7.83;5.86;4.65;3.14;3.57;2.64;4.32;8.30;-3.17;-9.49;1.23;-0.21;—
Enterprise Value (Bil);1.15;1.24;1.48;2.26;2.60;3.30;2.56;2.21;2.10;1.72;1.89;2.34;—
Enterprise Value/EBIT;9.54;13.59;15.69;28.08;23.54;27.56;20.86;16.35;729.33;—;41.05;51.16;—
Enterprise Value/EBITDA;7.76;10.24;11.20;18.32;15.01;17.81;13.42;10.42;22.42;36.22;11.18;16.50;—
