Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.33;0.27;0.28;0.24;0.09;0.24;0.45;0.20;0.21;0.39;0.42;0.28;3.01
Price/Earnings;20.09;4.66;—;41.63;6.00;39.50;56.26;6.13;5.47;—;3.35;27.76;25.53
Price/Cash Flow;55.97;9.70;13.12;11.07;1.70;3.10;—;7.00;3.91;6.85;38.06;11.93;17.03
Price/Book;26.73;3.54;3.85;3.09;1.24;2.20;4.12;1.65;1.39;2.84;3.38;2.40;4.19
Price/Forward Earnings;7.81;4.06;33.56;12.11;11.49;27.62;9.22;3.96;10.41;9.20;8.91;13.72;—
PEG Ratio;0.65;—;—;—;—;—;—;—;—;—;0.41;—;—
Earnings Yield %;4.98;21.44;-9.49;2.40;16.67;2.53;1.78;16.32;18.27;-15.26;-1.33;3.39;—
Enterprise Value (Mil);424.75;415.61;385.04;368.35;221.13;263.72;445.25;280.96;338.02;401.12;471.45;338.53;—
Enterprise Value/EBIT;13.32;9.44;—;11.49;5.26;9.80;16.20;4.46;5.18;—;24.27;9.41;—
Enterprise Value/EBITDA;9.91;7.15;24.47;7.28;3.68;6.01;10.40;3.57;4.23;—;12.43;7.12;—
