Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.63;0.45;0.83;0.91;1.06;1.12;1.52;1.13;0.99;0.91;1.52;1.10;3.07
Price/Earnings;15.28;70.71;189.33;—;12.84;15.27;30.61;14.30;11.99;—;9.86;17.38;25.84
Price/Cash Flow;15.68;4.45;9.64;15.69;6.99;8.55;13.59;15.55;8.31;—;5.71;11.29;17.36
Price/Book;1.52;1.22;2.50;3.35;3.05;3.92;5.68;6.81;4.73;3.52;7.16;4.86;4.27
Price/Forward Earnings;9.36;10.74;14.08;12.12;12.18;11.81;16.26;9.67;9.82;-14.77;—;15.47;—
PEG Ratio;0.51;1.02;1.34;1.15;1.07;1.42;1.45;0.69;0.88;—;—;1.21;—
Earnings Yield %;6.54;1.41;0.53;-2.07;7.79;6.55;3.27;6.99;8.34;-12.48;-17.99;3.05;—
Enterprise Value (Bil);3.53;2.77;4.86;6.78;6.89;7.53;10.45;8.81;8.39;5.72;7.24;7.91;—
Enterprise Value/EBIT;10.09;29.34;93.38;21.89;18.07;9.91;20.53;10.64;9.42;—;10.46;12.48;—
Enterprise Value/EBITDA;7.31;11.04;22.89;14.07;12.32;7.88;14.36;8.35;7.38;—;5.76;9.26;—
