Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.78;0.41;0.44;0.35;0.45;0.57;0.81;0.50;0.39;0.54;0.67;0.58;1.50
Price/Earnings;29.35;11.21;20.91;34.86;18.31;19.28;23.28;12.17;7.94;18.53;26.75;16.66;24.83
Price/Cash Flow;21.02;—;6.29;—;342.42;11.10;17.23;11.75;—;10.35;4.76;14.23;11.13
Price/Book;1.21;1.17;1.29;1.12;1.22;1.44;2.28;1.56;1.32;1.35;1.60;1.65;1.87
Price/Forward Earnings;14.04;12.33;22.47;15.38;12.71;14.14;16.16;9.03;7.55;15.92;15.82;13.44;—
PEG Ratio;7.02;0.57;1.03;0.71;—;—;—;—;—;—;—;—;—
Earnings Yield %;3.41;8.92;4.78;2.87;5.46;5.19;4.30;8.21;12.59;5.40;3.74;7.65;—
Enterprise Value (Bil);0.48;0.61;0.59;0.57;0.65;0.82;1.26;0.93;1.00;1.10;1.11;1.04;—
Enterprise Value/EBIT;15.71;13.88;29.58;19.51;14.27;12.09;16.19;8.30;6.13;11.20;15.18;11.11;—
Enterprise Value/EBITDA;7.70;8.27;11.74;9.24;8.40;8.21;11.70;6.33;4.93;7.46;8.79;7.94;—
