Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.83;0.93;1.01;1.33;1.71;1.73;2.48;2.71;3.88;4.24;3.80;3.01;3.07
Price/Earnings;13.48;14.85;17.90;20.56;23.74;25.62;53.53;23.14;34.86;32.30;24.15;32.66;25.84
Price/Cash Flow;8.22;10.07;7.62;28.73;15.15;14.59;20.52;23.54;24.74;18.81;15.67;21.11;17.36
Price/Book;2.29;2.80;3.16;4.13;5.15;5.33;8.16;7.91;10.42;10.57;8.34;8.47;4.27
Price/Forward Earnings;9.71;12.55;12.50;16.50;20.37;20.53;27.62;22.78;28.09;27.47;27.93;25.93;—
PEG Ratio;0.65;0.84;0.83;1.10;2.04;2.05;2.76;2.28;2.81;2.75;2.79;2.59;—
Earnings Yield %;7.42;6.74;5.59;4.86;4.21;3.90;1.87;4.32;2.87;3.10;4.14;3.28;—
Enterprise Value (Bil);1.16;1.38;1.45;1.94;2.62;2.69;3.94;4.56;7.24;8.49;7.67;5.41;—
Enterprise Value/EBIT;7.80;8.57;10.05;11.95;14.19;15.18;34.25;19.01;29.03;25.51;18.60;24.35;—
Enterprise Value/EBITDA;6.51;7.20;8.21;9.96;11.94;12.69;26.19;16.43;24.91;21.82;16.35;20.25;—
