Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.10;1.30;2.57;1.74;1.52;1.60;2.03;1.30;1.19;0.70;1.15;1.29;3.01
Price/Earnings;21.97;15.78;30.00;25.03;15.36;18.80;35.14;34.50;9.38;—;4.99;28.85;25.53
Price/Cash Flow;30.98;14.32;18.87;12.46;14.33;16.87;26.81;32.43;13.27;9.27;71.82;20.13;17.03
Price/Book;5.05;2.93;6.46;5.74;3.67;3.04;3.45;2.69;2.03;1.41;2.00;2.46;4.19
Price/Forward Earnings;19.27;9.08;17.48;19.05;14.49;16.50;20.75;16.84;20.88;-188.68;—;18.32;—
PEG Ratio;1.01;0.91;1.75;1.59;0.48;—;—;—;0.77;—;—;—;—
Earnings Yield %;4.55;6.34;3.33;4.00;6.51;5.32;2.85;2.90;10.66;-31.29;-11.76;-2.81;—
Enterprise Value (Bil);0.45;0.35;1.04;1.40;1.23;1.28;1.32;1.25;1.03;0.57;0.69;1.03;—
Enterprise Value/EBIT;15.17;10.70;26.45;19.26;11.33;17.36;24.59;23.83;17.97;—;33.42;21.78;—
Enterprise Value/EBITDA;13.06;8.83;21.75;14.24;9.21;12.84;16.67;14.35;11.46;—;534.36;25.05;—
