Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.73;0.81;1.07;1.15;1.28;1.11;0.91;0.92;0.74;1.00;1.03;0.97;3.07
Price/Earnings;16.91;18.62;23.34;25.64;27.77;25.18;20.11;29.19;16.99;16.55;24.83;22.25;25.84
Price/Cash Flow;12.56;17.70;17.11;19.76;23.77;19.31;20.44;19.30;15.34;17.81;18.67;18.66;17.36
Price/Book;2.28;2.70;3.61;4.06;4.44;4.16;3.57;4.00;3.38;3.02;3.18;3.73;4.27
Price/Forward Earnings;14.99;16.10;19.80;22.68;23.92;20.92;17.86;17.76;18.02;17.61;20.33;19.86;—
PEG Ratio;1.21;1.07;1.50;1.77;1.93;1.49;11.02;1.78;2.12;2.17;2.39;2.93;—
Earnings Yield %;5.91;5.37;4.28;3.90;3.60;3.97;4.97;3.43;5.88;6.04;4.03;4.85;—
Enterprise Value (Bil);6.15;7.48;10.12;12.19;13.78;13.20;12.44;13.93;10.83;10.39;11.55;12.27;—
Enterprise Value/EBIT;10.64;11.77;14.76;16.97;18.38;17.04;14.66;16.72;12.67;18.61;19.35;16.16;—
Enterprise Value/EBITDA;8.91;9.83;12.42;14.13;15.17;14.03;12.04;13.40;9.92;13.90;14.72;12.87;—
