Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.35;1.42;1.93;2.22;2.25;2.52;2.63;2.39;2.94;2.89;3.41;2.56;3.07
Price/Earnings;18.18;20.54;25.98;28.47;31.28;32.95;36.06;26.24;36.85;161.84;1,917.56;178.96;25.84
Price/Cash Flow;12.44;14.05;19.32;19.20;20.86;20.66;22.79;22.05;23.69;32.09;42.85;23.38;17.36
Price/Book;2.30;2.49;3.20;3.61;3.63;3.91;4.15;3.58;4.18;3.64;4.04;3.71;4.27
Price/Forward Earnings;17.61;14.71;17.89;21.51;—;30.49;—;—;—;—;—;—;—
PEG Ratio;1.96;1.63;1.99;2.39;—;5.08;—;—;—;—;—;—;—
Earnings Yield %;5.50;4.87;3.85;3.51;3.20;3.04;2.77;3.81;2.71;0.62;0.05;2.71;—
Enterprise Value (Bil);0.88;1.12;1.56;1.94;2.05;2.34;2.69;2.58;3.24;2.76;3.08;2.61;—
Enterprise Value/EBIT;10.48;11.99;15.44;17.43;18.27;20.03;21.76;23.32;27.71;128.07;309,504.56;16,185.36;—
Enterprise Value/EBITDA;7.71;8.97;11.59;13.07;13.62;14.91;16.19;16.43;19.57;37.00;62.25;21.29;—
