Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.58;2.90;4.10;2.57;5.19;7.30;4.06;1.53;1.26;1.59;3.78;3.09;3.01
Price/Earnings;—;—;—;43.44;116.04;—;—;—;12.12;—;8.12;472.00;25.53
Price/Cash Flow;5.78;5.26;9.90;6.24;6.41;6.58;6.16;2.63;1.73;2.13;5.14;3.86;17.03
Price/Book;1.24;1.43;2.00;1.48;1.67;2.40;1.40;0.84;0.68;0.78;1.89;1.19;4.19
Price/Forward Earnings;76.92;111.11;59.52;28.57;38.31;-113.64;50.51;9.18;8.72;—;7.91;33.40;—
PEG Ratio;6.40;9.31;4.97;2.38;—;—;—;—;—;—;—;—;—
Earnings Yield %;-0.40;-15.75;-12.04;2.30;0.86;-5.59;-7.70;-5.04;8.25;-37.41;-5.11;-10.52;—
Enterprise Value (Bil);1.28;1.68;2.25;2.14;2.80;4.61;4.31;3.20;2.90;3.78;6.30;3.86;—
Enterprise Value/EBIT;34.89;—;—;20.42;38.25;—;—;—;10.73;—;220.93;-13.56;—
Enterprise Value/EBITDA;7.84;—;—;7.21;8.48;26.88;25.29;10.74;3.18;—;15.53;20.88;—
