Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;1.02;1.34;1.58;1.77;2.12;1.75;1.99;1.72;2.08;1.93;1.80;1.97;1.50
Price/Earnings;14.98;18.72;22.35;27.02;35.30;31.46;42.37;23.36;32.56;36.83;42.25;36.55;24.83
Price/Cash Flow;7.03;9.18;10.90;11.76;15.09;13.73;15.87;13.53;15.81;8.67;9.06;14.28;11.13
Price/Book;1.47;1.46;1.86;2.05;2.55;2.57;3.12;2.10;2.54;2.31;1.90;2.56;1.87
Price/Forward Earnings;—;17.51;19.88;19.08;25.00;22.83;26.18;23.15;28.01;26.95;27.78;27.71;—
PEG Ratio;—;1.02;1.15;1.11;—;—;—;—;—;—;—;—;—
Earnings Yield %;6.67;5.34;4.47;3.70;2.83;3.18;2.36;4.28;3.07;2.72;2.37;3.00;—
Enterprise Value (Bil);2.42;3.59;4.21;4.85;6.96;7.85;10.71;10.58;15.18;15.47;16.30;11.85;—
Enterprise Value/EBIT;13.08;18.59;20.32;20.77;26.45;27.30;41.40;28.27;33.37;38.79;44.54;34.58;—
Enterprise Value/EBITDA;10.33;13.99;15.29;15.68;19.97;19.84;26.85;19.43;19.88;17.86;18.74;21.51;—
